Name,POS,Age,OVR,POT,Con,Pow,Eye,Ks,DF,Stu,Mov,Ctl,Sta,SctAcc
Pitcher 000,RP,18,49,71,,,,,,34,50,66,28,Very High
Hitter 001,C,18,47,65,48,62,28,57,38,,,,,Low
Hitter 002,C,24,36,59,29,40,30,60,52,,,,,Very High
Pitcher 003,SP,22,64,80,,,,,,65,65,62,28,Low
Hitter 004,SS,21,32,41,28,39,27,60,33,,,,,Very High
Hitter 005,1B,22,52,75,61,44,60,68,36,,,,,High
Pitcher 006,RP,22,52,58,,,,,,31,60,70,29,High
Hitter 007,RF,22,59,78,56,68,59,52,45,,,,,Normal
Hitter 008,1B,22,41,55,44,40,36,69,40,,,,,Low
Pitcher 009,RP,18,54,75,,,,,,53,43,63,29,Low
Hitter 010,C,23,40,47,35,46,34,56,51,,,,,Normal
Hitter 011,RF,18,55,62,46,69,47,63,56,,,,,Normal
Pitcher 012,RP,23,54,68,,,,,,69,67,29,28,Low
Hitter 013,C,21,53,69,43,70,49,67,47,,,,,High
Hitter 014,SS,19,49,61,64,32,56,28,38,,,,,Low
Pitcher 015,RP,21,42,64,,,,,,56,30,35,53,Normal
Hitter 016,CF,20,50,67,33,52,60,42,70,,,,,High
Hitter 017,3B,18,34,54,34,30,36,34,39,,,,,High
Pitcher 018,RP,22,35,51,,,,,,43,25,34,51,Normal
Hitter 019,C,21,54,76,33,69,57,64,66,,,,,Low
Hitter 020,CF,18,51,62,50,50,50,31,55,,,,,Very High
Pitcher 021,SP,22,41,47,,,,,,53,35,32,46,Very High
Hitter 022,LF,22,38,43,25,61,34,59,31,,,,,Very High
Hitter 023,SS,20,52,76,38,64,49,34,65,,,,,Normal
Pitcher 024,RP,21,40,60,,,,,,32,32,56,54,Normal
Hitter 025,RF,24,33,43,30,34,31,46,41,,,,,Very High
Hitter 026,C,24,51,72,38,58,48,34,69,,,,,Normal
Pitcher 027,SP,19,58,74,,,,,,69,41,58,48,High
Hitter 028,3B,22,59,70,59,59,57,46,65,,,,,High
Hitter 029,LF,23,45,50,50,39,37,58,56,,,,,Very High
Pitcher 030,RP,22,45,61,,,,,,55,41,37,69,Low
Hitter 031,3B,21,41,52,47,48,30,39,31,,,,,Normal
Hitter 032,RF,23,46,62,38,55,64,64,25,,,,,Very High
Pitcher 033,SP,19,50,68,,,,,,49,70,37,55,Normal
Hitter 034,2B,19,41,50,30,50,54,50,30,,,,,Very High
Hitter 035,RF,23,46,62,34,62,54,66,34,,,,,High
Pitcher 036,SP,22,40,49,,,,,,26,25,66,31,Low
Hitter 037,SS,22,35,47,37,38,26,41,38,,,,,Normal
Hitter 038,LF,21,46,69,41,59,51,33,28,,,,,Low
Pitcher 039,SP,18,52,71,,,,,,59,34,58,57,High
Hitter 040,RF,22,41,49,63,25,34,36,34,,,,,Very High
Hitter 041,RF,24,57,65,45,68,58,58,60,,,,,Very High
Pitcher 042,SP,22,35,54,,,,,,37,42,27,31,Very High
Hitter 043,3B,23,44,57,29,53,45,64,57,,,,,Low
Hitter 044,SS,22,55,66,57,59,55,57,40,,,,,Low
Pitcher 045,SP,20,46,53,,,,,,51,32,50,53,High
Hitter 046,1B,24,41,50,52,29,38,67,44,,,,,Normal
Hitter 047,1B,21,37,57,34,41,33,54,39,,,,,High
Pitcher 048,SP,21,50,65,,,,,,35,70,52,57,Low
Hitter 049,C,20,43,65,37,47,45,30,48,,,,,Low
Hitter 050,SS,22,52,59,53,70,26,49,46,,,,,Very High
Pitcher 051,SP,18,34,44,,,,,,31,30,41,42,Normal
Hitter 052,2B,22,48,69,33,52,68,41,50,,,,,Low
Hitter 053,2B,21,48,55,69,45,30,42,28,,,,,Normal
Pitcher 054,SP,22,48,60,,,,,,65,30,41,30,Very High
Hitter 055,CF,20,42,66,41,32,54,25,46,,,,,High
Hitter 056,2B,20,46,52,27,58,70,40,32,,,,,High
Pitcher 057,SP,24,49,60,,,,,,44,65,44,58,Normal
Hitter 058,LF,24,56,61,53,57,68,36,42,,,,,Normal
Hitter 059,3B,22,31,51,27,25,26,57,60,,,,,High
Pitcher 060,RP,23,52,72,,,,,,31,67,66,52,Low
Hitter 061,LF,19,53,78,57,44,69,38,39,,,,,High
Hitter 062,1B,23,41,54,50,47,28,33,25,,,,,Low
Pitcher 063,SP,24,42,63,,,,,,28,30,67,49,Normal
Hitter 064,RF,19,52,62,63,40,69,43,27,,,,,Normal
Hitter 065,LF,19,41,47,53,25,41,48,46,,,,,Normal
Pitcher 066,SP,21,37,44,,,,,,47,36,25,46,Low
